t,wall_time,cpu,util_ema,chosen_freq_khz,freq_idx,est_power_w
16.044,1761992936.841679,4,0.0,300000,0,5.0
16.044,1761992936.841679,5,0.0,300000,0,5.0
16.044,1761992936.841679,6,0.0,300000,0,5.0
16.044,1761992936.841679,7,0.0,300000,0,5.0
16.545,1761992937.3429117,0,0.0,300000,0,5.0
16.545,1761992937.3429117,1,0.0,300000,0,5.0
16.545,1761992937.3429117,2,0.0075,300000,0,5.0149
16.545,1761992937.3429117,3,0.0,300000,0,5.0
16.545,1761992937.3429117,4,0.0,300000,0,5.0
16.545,1761992937.3429117,5,0.0,300000,0,5.0
16.545,1761992937.3429117,6,0.0,300000,0,5.0
16.545,1761992937.3429117,7,0.0,300000,0,5.0
17.047,1761992937.8445663,0,0.0,300000,0,5.0
17.047,1761992937.8445663,1,0.0,300000,0,5.0
17.047,1761992937.8445663,2,0.0117,300000,0,5.0234
17.047,1761992937.8445663,3,0.0,300000,0,5.0
17.047,1761992937.8445663,4,0.0,300000,0,5.0
17.047,1761992937.8445663,5,0.0,300000,0,5.0
17.047,1761992937.8445663,6,0.0,300000,0,5.0
17.047,1761992937.8445663,7,0.0,300000,0,5.0
17.548,1761992938.3460705,0,0.0,300000,0,5.0
17.548,1761992938.3460705,1,0.0,300000,0,5.0
17.548,1761992938.3460705,2,0.0145,300000,0,5.0289
17.548,1761992938.3460705,3,0.0069,300000,0,5.0137
17.548,1761992938.3460705,4,0.0,300000,0,5.0
17.548,1761992938.3460705,5,0.0,300000,0,5.0
17.548,1761992938.3460705,6,0.0,300000,0,5.0
17.548,1761992938.3460705,7,0.0,300000,0,5.0
18.049,1761992938.8473177,0,0.0,300000,0,5.0
18.049,1761992938.8473177,1,0.0,300000,0,5.0
18.049,1761992938.8473177,2,0.0094,300000,0,5.0188
18.049,1761992938.8473177,3,0.0045,300000,0,5.0089
18.049,1761992938.8473177,4,0.0,300000,0,5.0
18.049,1761992938.8473177,5,0.0,300000,0,5.0
18.049,1761992938.8473177,6,0.0,300000,0,5.0
18.049,1761992938.8473177,7,0.0,300000,0,5.0
18.551,1761992939.3484719,0,0.0,300000,0,5.0
18.551,1761992939.3484719,1,0.0,300000,0,5.0
18.551,1761992939.3484719,2,0.0061,300000,0,5.0122
